label_flag,rows,columns
8,1271,25
distance,speed_down_aw0,level_flag_down_aw0,level_output_down_aw0,speed_down_aw1,level_flag_down_aw1,level_output_down_aw1,speed_down_aw2,level_flag_down_aw2,level_output_down_aw2,speed_down_aw3,level_flag_down_aw3,level_output_down_aw3,speed_up_aw0,level_flag_up_aw0,level_output_up_aw0,speed_up_aw1,level_flag_up_aw1,level_output_up_aw1,speed_up_aw2,level_flag_up_aw2,level_output_up_aw2,speed_up_aw3,level_flag_up_aw3,level_output_up_aw3
1000,33.74380457,1,63,0,0,0,0,0,0,0,0,0,30.33110742,3,26,0,0,0,0,0,0,0,0,0
1020,33.99765643,1,63,0,0,0,0,0,0,0,0,0,30.57392133,3,26,0,0,0,0,0,0,0,0,0
1040,34.24800016,1,63,0,0,0,0,0,0,0,0,0,30.81354345,3,26,0,0,0,0,0,0,0,0,0
1060,34.49496256,1,63,0,0,0,0,0,0,0,0,0,31.05008369,3,26,0,0,0,0,0,0,0,0,0
1080,34.73865679,1,63,0,0,0,0,0,0,0,0,0,31.28364776,3,26,0,0,0,0,0,0,0,0,0
1100,34.97918457,1,63,0,0,0,0,0,0,0,0,0,31.51433406,3,26,0,0,0,0,0,0,0,0,0
1120,35.21665371,1,63,0,0,0,0,0,0,0,0,0,31.74223506,3,26,0,0,0,0,0,0,0,0,0
1140,35.45116551,1,63,0,0,0,0,0,0,0,0,0,31.96743872,3,26,0,0,0,0,0,0,0,0,0
1160,35.68280961,1,63,0,0,0,0,0,0,0,0,0,32.1900315,3,26,0,0,0,0,0,0,0,0,0
1180,35.91167246,1,63,0,0,0,0,0,0,0,0,0,32.4100952,3,26,0,0,0,0,0,0,0,0,0
1200,36.13783579,1,63,0,0,0,0,0,0,0,0,0,32.62770592,3,26,0,0,0,0,0,0,0,0,0
1220,36.29107277,1,15,0,0,0,0,0,0,0,0,0,32.84293511,3,26,0,0,0,0,0,0,0,0,0
1240,36.37313062,1,15,0,0,0,0,0,0,0,0,0,33.05584958,3,26,0,0,0,0,0,0,0,0,0
1260,36.45488451,1,15,0,0,0,0,0,0,0,0,0,33.2665211,3,26,0,0,0,0,0,0,0,0,0
1280,36.53633796,1,15,0,0,0,0,0,0,0,0,0,33.47501304,3,26,0,0,0,0,0,0,0,0,0
1300,36.59347907,1,15,0,0,0,0,0,0,0,0,0,33.62935266,3,26,0,0,0,0,0,0,0,0,0
1320,36.62647366,1,15,0,0,0,0,0,0,0,0,0,33.78237807,3,26,0,0,0,0,0,0,0,0,0
1340,36.6593913,1,15,0,0,0,0,0,0,0,0,0,33.93411596,3,26,0,0,0,0,0,0,0,0,0
1360,36.69223242,1,15,0,0,0,0,0,0,0,0,0,34.08459717,3,26,0,0,0,0,0,0,0,0,0
1380,36.72499796,1,15,0,0,0,0,0,0,0,0,0,34.23384748,3,26,0,0,0,0,0,0,0,0,0
1400,36.75768833,1,15,0,0,0,0,0,0,0,0,0,34.38189286,3,26,0,0,0,0,0,0,0,0,0
1420,36.79030383,1,15,0,0,0,0,0,0,0,0,0,34.52875878,3,26,0,0,0,0,0,0,0,0,0
1440,36.82284476,1,15,0,0,0,0,0,0,0,0,0,34.67446855,3,26,0,0,0,0,0,0,0,0,0
1460,36.85531141,1,15,0,0,0,0,0,0,0,0,0,34.81904558,3,26,0,0,0,0,0,0,0,0,0
1480,36.88770407,1,15,0,0,0,0,0,0,0,0,0,34.96251029,3,26,0,0,0,0,0,0,0,0,0
1500,36.92002304,1,15,0,0,0,0,0,0,0,0,0,35.10488858,3,26,0,0,0,0,0,0,0,0,0
1520,36.95226861,1,15,0,0,0,0,0,0,0,0,0,35.24620038,3,26,0,0,0,0,0,0,0,0,0
1540,36.98444121,1,15,0,0,0,0,0,0,0,0,0,35.23779827,1,6,0,0,0,0,0,0,0,0,0
1560,37.01654126,1,15,0,0,0,0,0,0,0,0,0,35.2293876,1,6,0,0,0,0,0,0,0,0,0
1580,37.04856905,1,15,0,0,0,0,0,0,0,0,0,35.22163611,1,6,0,0,0,0,0,0,0,0,0
1600,37.07989129,1,15,0,0,0,0,0,0,0,0,0,35.21387687,1,6,0,0,0,0,0,0,0,0,0
1620,37.11114377,1,15,0,0,0,0,0,0,0,0,0,35.20610987,1,6,0,0,0,0,0,0,0,0,0
1640,37.14232678,1,15,0,0,0,0,0,0,0,0,0,35.19833508,1,6,0,0,0,0,0,0,0,0,0
1660,37.17344058,1,15,0,0,0,0,0,0,0,0,0,35.1905525,1,6,0,0,0,0,0,0,0,0,0
1680,37.20448542,1,15,0,0,0,0,0,0,0,0,0,35.18276212,1,6,0,0,0,0,0,0,0,0,0
1700,37.23546158,1,15,0,0,0,0,0,0,0,0,0,35.17496393,1,6,0,0,0,0,0,0,0,0,0
1720,37.26636967,1,15,0,0,0,0,0,0,0,0,0,35.16648912,1,6,0,0,0,0,0,0,0,0,0
1740,37.29784001,1,15,0,0,0,0,0,0,0,0,0,35.15800564,1,6,0,0,0,0,0,0,0,0,0
1760,37.32924107,1,15,0,0,0,0,0,0,0,0,0,35.14951348,1,6,0,0,0,0,0,0,0,0,0
1780,37.36057309,1,15,0,0,0,0,0,0,0,0,0,35.14101262,1,6,0,0,0,0,0,0,0,0,0
1800,37.39183636,1,15,0,0,0,0,0,0,0,0,0,35.13250307,1,6,0,0,0,0,0,0,0,0,0
1820,37.42303112,1,15,0,0,0,0,0,0,0,0,0,35.12398479,1,6,0,0,0,0,0,0,0,0,0
1840,37.45415765,1,15,0,0,0,0,0,0,0,0,0,35.11545778,1,6,0,0,0,0,0,0,0,0,0
1860,37.48521618,1,15,0,0,0,0,0,0,0,0,0,35.10692204,1,6,0,0,0,0,0,0,0,0,0
1880,37.516207,1,15,0,0,0,0,0,0,0,0,0,35.09837753,1,6,0,0,0,0,0,0,0,0,0
1900,37.54713094,1,15,0,0,0,0,0,0,0,0,0,35.08982426,1,6,0,0,0,0,0,0,0,0,0
1920,37.57798845,1,15,0,0,0,0,0,0,0,0,0,35.0812622,1,6,0,0,0,0,0,0,0,0,0
1940,37.60877977,1,15,0,0,0,0,0,0,0,0,0,35.07269135,1,6,0,0,0,0,0,0,0,0,0
1960,37.63950515,1,15,0,0,0,0,0,0,0,0,0,35.06411169,1,6,0,0,0,0,0,0,0,0,0
1980,37.67016482,1,15,0,0,0,0,0,0,0,0,0,35.05552321,1,6,0,0,0,0,0,0,0,0,0
2000,37.70075904,1,15,0,0,0,0,0,0,0,0,0,35.0469259,1,6,0,0,0,0,0,0,0,0,0
2020,37.73128805,1,15,0,0,0,0,0,0,0,0,0,35.03831974,1,6,0,0,0,0,0,0,0,0,0
2040,37.76175207,1,15,0,0,0,0,0,0,0,0,0,35.02970472,1,6,0,0,0,0,0,0,0,0,0
2060,37.79215136,1,15,0,0,0,0,0,0,0,0,0,35.02108082,1,6,0,0,0,0,0,0,0,0,0
2080,37.82248633,1,15,0,0,0,0,0,0,0,0,0,35.01244805,1,6,0,0,0,0,0,0,0,0,0
2100,37.85275729,1,15,0,0,0,0,0,0,0,0,0,35.00380637,1,6,0,0,0,0,0,0,0,0,0
2120,37.88296448,1,15,0,0,0,0,0,0,0,0,0,34.99515572,1,6,0,0,0,0,0,0,0,0,0
2140,37.91310811,1,15,0,0,0,0,0,0,0,0,0,34.98649606,1,6,0,0,0,0,0,0,0,0,0
